	bhsid	piN_x	piS_x	pin/pis_x	bsid	piN_y	piS_y	pin/pis_y
844	Brahy.S03G0306200	0.0019135746666666	0.0026235913333333	0.7536319656666667	Brast03G280400			
845	Brahy.S03G0307400	0.00335157175	0.00447092675	0.64631801975	Brast03G281700			
846	Brahy.S03G0308200	0.0092960593333333	0.0159832433333333	0.5762888503333333	Brast03G282500			
847	Brahy.S03G0308300	0.0055497515	0.01072040725	0.53273426025	Brast03G282600			
848	Brahy.S03G0313600	0.000522972	0.0016786935	0.3125881765	Brast03G287800			
849	Brahy.S03G0314200	0.001518721	0.0018089073333333	0.8209766526666668				
850	Brahy.S03G0314800	0.00322485	0.0038505082499999	0.8674113785	Brast03G289000			
851	Brahy.S03G0318100	0.000301382	0.000730427	0.412610958	Brast03G291900			
852	Brahy.S03G0319300	0.003718259	0.004079719	0.91140075	Brast03G293100			
853	Brahy.S03G0323800	7.87e-05	0.000281775	0.279395267	Brast03G297300			
