nodeName	altName	nodeAttr[nodesPresent, ]
TRIDC1AG055650	NA	blue
TRIDC6BG045920	NA	turquoise
TRIDC2AG063700	NA	turquoise
TRIDC7AG034030	NA	blue
TRIDC3AG041060	NA	turquoise
TRIDC4AG020080	NA	turquoise
TRIDC4AG003800	NA	blue
TRIDC6BG041550	NA	turquoise
TRIDC4BG037200	NA	turquoise
TRIDC7BG005430	NA	turquoise
TRIDC2AG061690	NA	turquoise
TRIDC7BG001050	NA	turquoise
TRIDC7AG016380	NA	turquoise
TRIDC3AG025600	NA	turquoise
TRIDC6AG010410	NA	turquoise
TRIDC4AG033090	NA	blue
TRIDC7AG072610	NA	turquoise
TRIDC6AG021070	NA	turquoise
TRIDC5AG019170	NA	turquoise
TRIDC5BG029120	NA	turquoise
TRIDC1BG012860	NA	turquoise
TRIDC4AG066140	NA	turquoise
TRIDC3AG024290	NA	turquoise
TRIDC5AG071560	NA	turquoise
TRIDC5AG015500	NA	turquoise
TRIDC4AG031560	NA	turquoise
TRIDC4BG053220	NA	brown
TRIDC1BG066680	NA	turquoise
TRIDC6BG047970	NA	turquoise
TRIDC7BG030180	NA	turquoise
TRIDC6AG049650	NA	turquoise
TRIDC5AG042840	NA	turquoise
TRIDC3BG026020	NA	turquoise
TRIDC5AG038340	NA	red
TRIDC1BG018060	NA	turquoise
TRIDC4AG041040	NA	turquoise
TRIDC7AG015090	NA	turquoise
TRIDC4BG045030	NA	brown
TRIDC5BG041090	NA	turquoise
TRIDC6BG069500	NA	turquoise
TRIDC4BG027140	NA	turquoise
TRIDC7BG004560	NA	red
TRIDC2AG009390	NA	turquoise
TRIDC5AG010560	NA	turquoise
TRIDC2BG080840	NA	turquoise
TRIDC5BG068210	NA	turquoise
TRIDC4BG006240	NA	turquoise
TRIDC6BG026010	NA	turquoise
TRIDC2AG028630	NA	turquoise
TRIDC3AG046290	NA	turquoise
TRIDC6BG044420	NA	turquoise
TRIDC1BG019510	NA	turquoise
TRIDC3BG029780	NA	turquoise
TRIDC2AG048400	NA	turquoise
TRIDC2BG038770	NA	blue
TRIDC4AG023230	NA	turquoise
TRIDC2AG070190	NA	turquoise
TRIDC5AG061670	NA	turquoise
TRIDC4BG018200	NA	turquoise
TRIDC3AG007110	NA	blue
TRIDC2AG014760	NA	turquoise
TRIDC4AG016800	NA	green
TRIDC6AG034010	NA	turquoise
TRIDC5AG030320	NA	blue
TRIDC1AG025300	NA	turquoise
TRIDC7BG025190	NA	blue
TRIDC6BG036660	NA	blue
TRIDC4BG049210	NA	turquoise
TRIDC7BG026620	NA	turquoise
TRIDC6BG027150	NA	turquoise
TRIDC5BG012750	NA	turquoise
TRIDC1AG037480	NA	blue
TRIDC7AG045090	NA	turquoise
TRIDC6BG026140	NA	green
TRIDC2BG036090	NA	turquoise
TRIDC2BG077990	NA	turquoise
TRIDC7BG024840	NA	turquoise
TRIDC6BG053540	NA	turquoise
TRIDC1BG021200	NA	turquoise
TRIDC6BG034650	NA	blue
TRIDC1BG069520	NA	blue
TRIDC5AG036040	NA	red
TRIDC2AG053270	NA	turquoise
TRIDC3BG078070	NA	turquoise
TRIDC4AG013150	NA	turquoise
TRIDC7AG001220	NA	turquoise
TRIDC4BG034530	NA	turquoise
TRIDC6BG032450	NA	turquoise
TRIDC2BG036650	NA	turquoise
TRIDC2AG051600	NA	turquoise
TRIDC4BG038250	NA	turquoise
TRIDC1BG039940	NA	turquoise
TRIDC1AG012080	NA	red
TRIDC3AG051250	NA	turquoise
TRIDC2BG024800	NA	turquoise
TRIDC7AG029120	NA	turquoise
TRIDC6BG034160	NA	turquoise
TRIDC5BG026710	NA	turquoise
TRIDC1AG029640	NA	turquoise
TRIDC1AG042610	NA	turquoise
TRIDC6AG037760	NA	turquoise
TRIDC2BG045240	NA	turquoise
TRIDC2AG039210	NA	blue
TRIDC7AG077660	NA	turquoise
TRIDC3AG032570	NA	blue
TRIDC6AG033820	NA	turquoise
TRIDC6AG042010	NA	red
TRIDC7BG016380	NA	turquoise
TRIDC2BG031240	NA	turquoise
TRIDC2BG074380	NA	turquoise
TRIDC2AG081760	NA	turquoise
TRIDC5AG078060	NA	turquoise
TRIDC7BG051460	NA	turquoise
TRIDC1AG061930	NA	turquoise
TRIDC5AG023520	NA	turquoise
TRIDC7AG053840	NA	turquoise
TRIDC6BG048720	NA	blue
TRIDC5AG061990	NA	turquoise
TRIDC5AG008910	NA	turquoise
TRIDC6BG004400	NA	turquoise
TRIDC1BG019240	NA	blue
TRIDC1BG052800	NA	turquoise
TRIDC7AG044730	NA	turquoise
TRIDC7AG052870	NA	turquoise
TRIDC3AG016690	NA	turquoise
TRIDC5AG073570	NA	brown
TRIDC7BG065190	NA	turquoise
TRIDC3BG083960	NA	turquoise
TRIDC5BG059990	NA	turquoise
TRIDC1AG021400	NA	turquoise
TRIDC5AG052210	NA	blue
TRIDC6AG025520	NA	turquoise
TRIDC1AG041580	NA	blue
TRIDC2AG030320	NA	turquoise
TRIDC6BG051280	NA	blue
TRIDC3AG027280	NA	black
TRIDC2AG031630	NA	turquoise
TRIDC1AG039770	NA	blue
TRIDC2AG007690	NA	blue
TRIDC2AG029920	NA	turquoise
TRIDC1BG033670	NA	blue
TRIDC7AG037680	NA	turquoise
TRIDC2AG070500	NA	green
TRIDC5BG000910	NA	turquoise
TRIDC3BG085590	NA	blue
TRIDC2BG028680	NA	turquoise
TRIDC2BG069350	NA	turquoise
