nodeName	altName	nodeAttr[nodesPresent, ]
TRIDC3BG045370	NA	turquoise
TRIDC1BG064080	NA	turquoise
TRIDC1AG047680	NA	blue
TRIDC2AG042380	NA	brown
TRIDC4BG034310	NA	turquoise
TRIDC5BG004370	NA	turquoise
TRIDC4BG034530	NA	blue
TRIDC5AG050150	NA	turquoise
TRIDC2BG019270	NA	turquoise
TRIDC1BG043520	NA	blue
TRIDC5BG000910	NA	turquoise
TRIDC5BG083300	NA	turquoise
TRIDC2AG024860	NA	blue
TRIDC5AG049200	NA	turquoise
TRIDC5BG070020	NA	turquoise
TRIDC5AG053480	NA	blue
TRIDC4BG015250	NA	blue
TRIDC1AG053840	NA	blue
TRIDC4AG019020	NA	turquoise
TRIDC1AG025300	NA	blue
TRIDC1AG055800	NA	blue
TRIDC4AG000730	NA	turquoise
TRIDC7BG047180	NA	brown
TRIDC1AG019050	NA	turquoise
TRIDC4BG039030	NA	blue
TRIDC1AG032410	NA	brown
TRIDC6BG047420	NA	blue
TRIDC2BG028750	NA	grey
TRIDC1AG040810	NA	blue
TRIDC1AG004880	NA	blue
TRIDC1BG012860	NA	blue
TRIDC5BG082940	NA	blue
TRIDC2AG014760	NA	blue
TRIDC5BG051380	NA	blue
TRIDC1AG039170	NA	blue
TRIDC3AG025180	NA	blue
TRIDC7AG043550	NA	turquoise
TRIDC7AG068270	NA	brown
TRIDC7AG061890	NA	turquoise
TRIDC2AG003590	NA	turquoise
TRIDC1AG065170	NA	turquoise
TRIDC6BG048350	NA	blue
TRIDC1BG018270	NA	blue
TRIDC2AG029920	NA	blue
TRIDC7AG054100	NA	blue
TRIDC3BG062400	NA	turquoise
TRIDC3AG046290	NA	blue
TRIDC1BG019510	NA	turquoise
TRIDC4AG025680	NA	blue
TRIDC1BG040080	NA	blue
TRIDC2BG010180	NA	blue
TRIDC3BG083940	NA	turquoise
TRIDC5AG078060	NA	blue
TRIDC3BG054940	NA	blue
TRIDC1AG042610	NA	blue
TRIDC7BG065190	NA	blue
TRIDC2AG037450	NA	blue
TRIDC7BG025300	NA	blue
TRIDC5BG063450	NA	turquoise
TRIDC4AG043480	NA	turquoise
TRIDC2AG045750	NA	brown
TRIDC1AG048450	NA	turquoise
TRIDC2BG015670	NA	turquoise
TRIDC2BG046880	NA	turquoise
TRIDC1BG070040	NA	turquoise
TRIDC7AG044730	NA	blue
TRIDC7BG009720	NA	blue
TRIDC6AG037310	NA	blue
TRIDC2BG069350	NA	blue
TRIDC4BG017830	NA	turquoise
TRIDC3BG029210	NA	blue
TRIDC1AG049980	NA	turquoise
TRIDC2AG074140	NA	blue
TRIDC5AG056050	NA	brown
TRIDC1AG041580	NA	turquoise
TRIDC5BG046470	NA	blue
TRIDC5BG068450	NA	turquoise
TRIDC3AG057240	NA	turquoise
TRIDC6AG010410	NA	blue
TRIDC5BG033210	NA	blue
TRIDC2BG019600	NA	turquoise
TRIDC4AG010410	NA	blue
